 CONF#        E (DFT) (+ ΔGsolv)       ΔE (DFT) (+ δΔGsolv)       GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                     [Eh]                   [kcal/mol]             [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF270          -390.800836                   1.15                ---         -390.800836          1.15                0.30         
CONF271          -390.800848                   1.14                ---         -390.800848          1.14                0.31         
CONF272          -390.800830                   1.15                ---         -390.800830          1.15                0.30         
CONF274          -390.800764                   1.19                ---         -390.800764          1.19                0.28         
CONF275          -390.800882                   1.12                ---         -390.800882          1.12                0.32         
CONF280          -390.800564                   1.32                ---         -390.800564          1.32                0.23         
CONF281          -390.800565                   1.32                ---         -390.800565          1.32                0.23         
CONF282          -390.800846                   1.14                ---         -390.800846          1.14                0.30         
CONF290          -390.800531                   1.34                ---         -390.800531          1.34                0.22         
CONF294          -390.800901                   1.11                ---         -390.800901          1.11                0.32         
CONF295          -390.800909                   1.10                ---         -390.800909          1.10                0.33         
CONF300          -390.800492                   1.36                ---         -390.800492          1.36                0.21         
CONF301          -390.800446                   1.39                ---         -390.800446          1.39                0.20         
CONF303          -390.800446                   1.39                ---         -390.800446          1.39                0.20         
CONF307          -390.800720                   1.22                ---         -390.800720          1.22                0.27         
CONF308          -390.800467                   1.38                ---         -390.800467          1.38                0.20         
CONF315          -390.801293                   0.86                ---         -390.801293          0.86                0.49         
CONF316          -390.801292                   0.86                ---         -390.801292          0.86                0.49         
CONF323          -390.800833                   1.15                ---         -390.800833          1.15                0.30         
CONF325          -390.800562                   1.32                ---         -390.800562          1.32                0.23         
CONF332          -390.800595                   1.30                ---         -390.800595          1.30                0.23         
CONF337          -390.801112                   0.97                ---         -390.801112          0.97                0.40         
CONF339          -390.801125                   0.96                ---         -390.801125          0.96                0.41         
CONF348          -390.800489                   1.36                ---         -390.800489          1.36                0.21         
CONF352          -390.800572                   1.31                ---         -390.800572          1.31                0.23         
CONF353          -390.800466                   1.38                ---         -390.800466          1.38                0.20         
CONF354          -390.800474                   1.37                ---         -390.800474          1.37                0.21         
CONF357          -390.801137                   0.96                ---         -390.801137          0.96                0.41         
CONF366          -390.800349                   1.45                ---         -390.800349          1.45                0.18         
CONF376          -390.800513                   1.35                ---         -390.800513          1.35                0.21         
CONF377          -390.800423                   1.40                ---         -390.800423          1.40                0.19         
CONF382          -390.800526                   1.34                ---         -390.800526          1.34                0.22         
CONF383          -390.800364                   1.44                ---         -390.800364          1.44                0.18         
CONF384          -390.800372                   1.44                ---         -390.800372          1.44                0.18         
CONF386          -390.800625                   1.28                ---         -390.800625          1.28                0.24         
CONF397          -390.801018                   1.03                ---         -390.801018          1.03                0.37         
CONF400          -390.801020                   1.03                ---         -390.801020          1.03                0.37         
CONF401          -390.800350                   1.45                ---         -390.800350          1.45                0.18         
CONF403          -390.801030                   1.02                ---         -390.801030          1.02                0.37         
CONF412          -390.800598                   1.30                ---         -390.800598          1.30                0.23         
CONF421          -390.800601                   1.29                ---         -390.800601          1.29                0.23         
CONF424          -390.800428                   1.40                ---         -390.800428          1.40                0.20         
CONF434          -390.801832                   0.52                ---         -390.801832          0.52                0.87         
CONF439          -390.800408                   1.41                ---         -390.800408          1.41                0.19         
CONF442          -390.800408                   1.41                ---         -390.800408          1.41                0.19         
CONF449          -390.800318                   1.47                ---         -390.800318          1.47                0.17         
CONF450          -390.800322                   1.47                ---         -390.800322          1.47                0.17         
CONF483          -390.800363                   1.44                ---         -390.800363          1.44                0.18         
CONF499          -390.800705                   1.23                ---         -390.800705          1.23                0.26         
CONF507          -390.800779                   1.18                ---         -390.800779          1.18                0.28         
CONF508          -390.800874                   1.12                ---         -390.800874          1.12                0.31         
CONF509          -390.800780                   1.18                ---         -390.800780          1.18                0.28         
CONF529          -390.800698                   1.23                ---         -390.800698          1.23                0.26         
CONF554          -390.800686                   1.24                ---         -390.800686          1.24                0.26         
CONF589          -390.801055                   1.01                ---         -390.801055          1.01                0.38         
CONF619          -390.800483                   1.37                ---         -390.800483          1.37                0.21         
CONF644          -390.800394                   1.42                ---         -390.800394          1.42                0.19         
CONF670          -390.801511                   0.72                ---         -390.801511          0.72                0.62         
CONF675          -390.800536                   1.33                ---         -390.800536          1.33                0.22         
CONF789          -390.800589                   1.30                ---         -390.800589          1.30                0.23         

Boltzmann averaged free energy/enthalpy of ensemble on optimized geometries:
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -390.8012365    -390.8012365     <<==part2==
----------------------------------------------------------------------------------------------------

